PlantID,Region,Status,Type
16043,CAN,N,Native
16043,GL,N,Native
16043,L48,N,Native
16049,CAN,N,Native
16049,L48,N,Native
16053,CAN,N,Native
16053,L48,N,Native
16053,SPM,N,Native
16068,AK,N,Native
16068,CAN,N,Native
16068,HI,N,Native
16068,L48,N,Native
16068,PR,N,Native
16068,VI,N,Native
16077,AK,N,Native
16077,CAN,N,Native
16077,L48,N,Native
16109,CAN,N,Native
16109,L48,N,Native
16109,SPM,N,Native
16089,CAN,N,Native
16089,L48,N,Native
16114,CAN,N,Native
16114,GL,N,Native
16114,L48,N,Native
16114,SPM,N,Native
16091,CAN,N,Native
16091,L48,N,Native
16091,PR,N,Native
16148,AK,N,Native
16148,CAN,N,Native
16148,L48,N,Native
16110,AK,N,Native
16110,CAN,N,Native
16110,L48,N,Native
16124,CAN,N,Native
16124,L48,N,Native
16126,AK,N,Native
16126,CAN,N,Native
16126,L48,N,Native
16126,SPM,N,Native
16158,CAN,N,Native
16158,L48,N,Native
16177,CAN,N,Native
16177,L48,N,Native
16163,CAN,N,Native
16163,L48,N,Native
39025,CAN,N,Native
39025,L48,N,Native
90354,AK,N,Native
90354,CAN,N,Native
90354,L48,N,Native
90416,AK,N,Native
90416,CAN,I,Introduced
90416,CAN,N,Native
90416,GL,I,Introduced
90416,L48,N,Native
90416,SPM,N,Native
90431,CAN,N,Native
90431,L48,N,Native
90436,AK,N,Native
90436,CAN,N,Native
90436,L48,N,Native
90492,CAN,N,Native
90492,L48,N,Native
90492,SPM,I,Introduced
39027,CAN,N,Native
39027,L48,N,Native
39047,CAN,N,Native
39047,L48,N,Native
50038,CAN,I,Introduced
50038,L48,N,Native
67314,AK,N,Native
67314,CAN,N,Native
67314,L48,N,Native
29078,CAN,N,Native
29078,L48,N,Native
39064,CAN,N,Native
39064,L48,N,Native
39064,SPM,N,Native
29053,CAN,N,Native
29053,L48,N,Native
29057,CAN,N,Native
29057,L48,N,Native
29072,L48,N,Native
84105,CAN,N,Native
84105,L48,N,Native
84106,CAN,N,Native
84106,L48,N,Native
90527,L48,N,Native
84113,CAN,N,Native
84113,L48,N,Native
46303,AK,N,Native
46303,CAN,N,Native
46303,L48,N,Native
46303,SPM,N,Native
90641,CAN,N,Native
